Movie,IMDB Rating,Genre
Black Widow,6.9,Action
Star wars A New hope,8,Adventure
Return of the Jedi,8.3,Sci-fi
Mission Impossible 6,7.7,Action
The Dark Knight,9.00,Action
Revenge of the Sith,7.5,Adventure
Twilight,8,Adventure/Drama
Fight Club,8.8,Drama
Star Trek,7.9,Sci-fi
The Conjuring,7.5,"Thriller, Horror"
The Shawshank Redemption,9.3,Crime/Drama
10 Things I Hate About You,8,"Thriller, Action"
The Dark Knight Rises,8.4,Action
Bahubali: The Beginning,8,Action/Drama
Intersteller,8.6,science fiction
Inception ,8.8,Sci-Fi/Thriller
The Space Between Us,6.4,Sci-fi
Cruella,7.4,Comedy/Crime
Parasite,8.6,Thriller
Schindler's list,8.9,History
The Lion King (1994),8.5,Family/Musical
Thor Ragnarok,7.9,Action
Despicable Me,7.6,Comedy/Animation
Infinity War,8.4,Action
Inception,8.8,Sci-Fi
The Martian,8,Sci-Fi
Demon slayer Mugen train,8.3,Anime 
Harry Potter and the Goblet of Fire,7.7,Adventure/fantasy
Interstellar,8.6,Sci-fi
