Length1,Length2,Length3,Height,Width
1.17E+01,1.24E+01,1.35E+01,2.43E+00,1.269E+00
1.9E+01,2.07E+01,2.32E+01,9.396E+00,3.4104E+00
3.8E+01,4.1E+01,4.65E+01,1.76235E+01,6.3705E+00
1.32E+01,1.43E+01,1.52E+01,2.8728E+00,2.0672E+00
3.73E+01,4E+01,4.35E+01,1.2354E+01,6.525E+00
3E+01,3.23E+01,3.48E+01,5.568E+00,3.3756E+00
3.55E+01,3.8E+01,4.05E+01,7.29E+00,4.5765E+00
1.13E+01,1.18E+01,1.31E+01,2.2139E+00,1.2838E+00
4.02E+01,4.35E+01,4.6E+01,1.2604E+01,8.142E+00
3.37E+01,3.64E+01,3.96E+01,1.17612E+01,6.5736E+00
3.35E+01,3.7E+01,4.26E+01,1.8957E+01,6.603E+00
4.01E+01,4.3E+01,4.55E+01,1.25125E+01,7.4165E+00
3.4E+01,3.65E+01,3.9E+01,1.0881E+01,6.864E+00
2.36E+01,2.6E+01,2.87E+01,8.3804E+00,4.2476E+00
3.09E+01,3.35E+01,3.86E+01,1.5633E+01,5.1338E+00
1.38E+01,1.5E+01,1.6E+01,3.824E+00,2.432E+00
2.54E+01,2.75E+01,2.89E+01,7.2828E+00,4.5662E+00
4.01E+01,4.3E+01,4.58E+01,7.786E+00,5.1296E+00
1.68E+01,1.87E+01,1.94E+01,5.1992E+00,3.1234E+00
3.1E+01,3.35E+01,3.87E+01,1.44738E+01,5.7276E+00
2.2E+01,2.34E+01,2.67E+01,6.9153E+00,3.6312E+00
2.68E+01,2.97E+01,3.47E+01,1.36024E+01,4.9274E+00
2.1E+01,2.25E+01,2.5E+01,6.55E+00,3.325E+00
2.54E+01,2.75E+01,2.89E+01,7.1672E+00,4.335E+00
1.9E+01,2.05E+01,2.28E+01,6.4752E+00,3.3516E+00
1.75E+01,1.88E+01,2.12E+01,5.5756E+00,2.9044E+00
3.7E+01,4E+01,4.24E+01,1.23808E+01,7.4624E+00
1.01E+01,1.06E+01,1.16E+01,1.7284E+00,1.1484E+00
3.25E+01,3.5E+01,3.73E+01,1.14884E+01,7.7957E+00
2.95E+01,3.2E+01,3.73E+01,1.39129E+01,5.0728E+00
2.91E+01,3.15E+01,3.64E+01,1.37592E+01,4.368E+00
2E+01,2.2E+01,2.35E+01,6.11E+00,3.4075E+00
4.11E+01,4.4E+01,4.66E+01,1.24888E+01,7.5958E+00
2.26E+01,2.46E+01,2.62E+01,6.7334E+00,4.1658E+00
3.65E+01,3.9E+01,4.14E+01,1.11366E+01,6.003E+00
2.63E+01,2.9E+01,3.35E+01,1.273E+01,4.4555E+00
2.78E+01,3E+01,3.16E+01,7.6156E+00,4.7716E+00
2.76E+01,3E+01,3.5E+01,1.267E+01,4.69E+00
